screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE - 240B FRAME	rect	1	330	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	349	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	330	1	19	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	797	330	1	19	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	472	330	1	19	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	666	330	1	19	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	1	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	15	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	37	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	56	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	1	1	55	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	797	1	1	55	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	106	37	1	19	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	60	57	1	273	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	472	57	1	273	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	106	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	179	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	232	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	325	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	408	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	481	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	564	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	627	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	670	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	712	1	1	36	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	14	0	0	1	11053224	-1	0	1	enable	BAUD
SERIAL DECODE - 240B FRAME	text	8	34	0	0	2	4259648	-1	0	1	enable	9600
SERIAL DECODE - 240B FRAME	text	111	14	0	0	1	11053224	-1	0	1	enable	FORMAT
SERIAL DECODE - 240B FRAME	text	115	34	0	0	2	4259648	-1	0	1	enable	8N1
SERIAL DECODE - 240B FRAME	text	188	14	0	0	1	11053224	-1	0	1	enable	IDLE
SERIAL DECODE - 240B FRAME	text	188	32	0	0	1	4259648	-1	0	1	enable	HIGH
SERIAL DECODE - 240B FRAME	text	241	14	0	0	1	11053224	-1	0	1	enable	LOGIC
SERIAL DECODE - 240B FRAME	text	241	32	0	0	1	16777215	-1	0	1	enable	3V3 CMOS
SERIAL DECODE - 240B FRAME	text	334	14	0	0	1	11053224	-1	0	1	enable	THRESH
SERIAL DECODE - 240B FRAME	text	334	32	0	0	1	16777215	-1	0	1	enable	1.65 V
SERIAL DECODE - 240B FRAME	text	417	14	0	0	1	11053224	-1	0	1	enable	SA/BIT
SERIAL DECODE - 240B FRAME	text	417	32	0	0	1	16777215	-1	0	1	enable	10.4
SERIAL DECODE - 240B FRAME	text	490	14	0	0	1	11053224	-1	0	1	enable	RATE
SERIAL DECODE - 240B FRAME	text	490	32	0	0	1	16777215	-1	0	1	enable	100 kS/s
SERIAL DECODE - 240B FRAME	text	573	14	0	0	1	11053224	-1	0	1	enable	BYTES
SERIAL DECODE - 240B FRAME	text	573	32	0	0	1	8454016	-1	0	1	enable	32768
SERIAL DECODE - 240B FRAME	text	634	14	0	0	1	11053224	-1	0	1	enable	ERR
SERIAL DECODE - 240B FRAME	text	636	32	0	0	1	16736352	-1	0	1	enable	3
SERIAL DECODE - 240B FRAME	text	679	14	0	0	1	11053224	-1	0	1	enable	FIT
SERIAL DECODE - 240B FRAME	text	679	32	0	0	1	8454016	-1	0	1	enable	1.00
SERIAL DECODE - 240B FRAME	text	721	14	0	0	1	11053224	-1	0	1	enable	S/N
SERIAL DECODE - 240B FRAME	text	721	32	0	0	1	8454016	-1	0	1	enable	41 dB
SERIAL DECODE - 240B FRAME	rect	97	19	5	1	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	97	20	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	101	20	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	95	24	9	7	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	51	0	0	1	16776960	-1	0	1	enable	Free run
SERIAL DECODE - 240B FRAME	text	112	51	0	0	1	16760832	-1	0	1	enable	panel shows bytes 24577-32768 of 32768; all are in stream...  (+2 more)
SERIAL DECODE - 240B FRAME	text	8	71	0	0	1	8421504	-1	0	1	enable	24576
